CFNJ St-Gabriel Brandon Fm 99'1,nicolas@cfnj.net,cfnj.net
CFUT Shawinigan FM 91'1,steveb@radioshawinigan.com,radioshawinigan.com
CHAA Longueuil FM 103'3,fm1033@live.ca,live.ca
CHAI Chateauguay 101'9,chai@videotron.ca,videotron.ca
CHEF Matagami FM 99'9,meve.chef99fm@lino.com,lino.com
CHGA Maniwaki FM 07'3,gbuissieres@chga.fm,chga.fm
CHIP Fort-Coulonge FM 101'7,nathaliev@chipfm.com,chipfm.com
CHOC St-Rémi FM 104'9,studio@chocfm.com  ,chocfm.com  
CHOW Radio Boréale - Amos FM -105'3,coordonnatrice@radioboreale.com,radioboreale.com
CIAU Radisson FM 103'1,ciaufm@lino.com,lino.com
CIBL Montréal FM 101'5,exuma@videotron.ca,videotron.ca
CIBO Senneterre FM 100'5,cibo.fm@cableamos.com,cableamos.com
CIEU Carleton FM 94'9 & 106'1,directionmusicale@cieufm.com,cieufm.com
CIHO St-Hilarion FM 96'3 &105'9,ciho@charlevoix.net,charlevoix.net
CJFO Ottawa FM,rpaque@cjfofm.com,cjfofm.com
CIGN Coaticook FM 96'7,direction@cignfm.ca,cignfm.ca
CILE Havre St-Pierre FM 95'1,musique@cilemf.com,cilemf.com
CINQ Radio Centre-Ville FM 102'3,suzanne@radiocentreville.com,radiocentreville.com
CJBE Anticosti FM 90'5,radioanticosti@gmail.com ,gmail.com 
CJMD Lévis FM 96'9,programme@cjmdfm.com ,cjmdfm.com 
CJMQ Sherbrooke FM 88'9,cjmqnews@yahoo.ca,yahoo.ca
CJRG Gaspé FM 94'5,jacques.henry@radiogaspesie.ca,radiogaspesie.ca
CKAJ Saguenay FM 92'5,tristan.cloutier@gmail.com,gmail.com
CKBN Bécancour FM 90'5 & 95'4,production@ckbn.ca,ckbn.ca
CKIA Québec FM 88'3,ckiafm@meduse.org,meduse.org
CKMN Rimouski FM 96'5,rckmn@ckmn.fm,ckmn.fm
CKNA Natashquan FM 104'1,radiockna@globetrotter.net ,globetrotter.net 
CKRL Québec FM 89'1,dirmusi@ckrl.qc.ca,ckrl.qc.ca
CKVL Lasalle FM100'1,programmation@100-1fm.com,100-1fm.com
"CJRG (94,3) GASPÉ",dave.ferguson@radiogaspesie.ca,radiogaspesie.ca
CKBN (90'5) BÉCANCOUR,eric@ckbn.ca,ckbn.ca
